mpg,cylinders,displacement,horsepower,acceleration,cylinders^2,displacement^2,horsepower^2,acceleration^2
18.0,8,307.0,130.0,12.0,64,94249.0,16900.0,144.0
15.0,8,350.0,165.0,11.5,64,122500.0,27225.0,132.25
18.0,8,318.0,150.0,11.0,64,101124.0,22500.0,121.0
16.0,8,304.0,150.0,12.0,64,92416.0,22500.0,144.0
17.0,8,302.0,140.0,10.5,64,91204.0,19600.0,110.25
15.0,8,429.0,198.0,10.0,64,184041.0,39204.0,100.0
14.0,8,454.0,220.0,9.0,64,206116.0,48400.0,81.0
14.0,8,440.0,215.0,8.5,64,193600.0,46225.0,72.25
14.0,8,455.0,225.0,10.0,64,207025.0,50625.0,100.0
15.0,8,390.0,190.0,8.5,64,152100.0,36100.0,72.25
15.0,8,383.0,170.0,10.0,64,146689.0,28900.0,100.0
14.0,8,340.0,160.0,8.0,64,115600.0,25600.0,64.0
15.0,8,400.0,150.0,9.5,64,160000.0,22500.0,90.25
14.0,8,455.0,225.0,10.0,64,207025.0,50625.0,100.0
24.0,4,113.0,95.0,15.0,16,12769.0,9025.0,225.0
22.0,6,198.0,95.0,15.5,36,39204.0,9025.0,240.25
18.0,6,199.0,97.0,15.5,36,39601.0,9409.0,240.25
21.0,6,200.0,85.0,16.0,36,40000.0,7225.0,256.0
27.0,4,97.0,88.0,14.5,16,9409.0,7744.0,210.25
26.0,4,97.0,46.0,20.5,16,9409.0,2116.0,420.25
25.0,4,110.0,87.0,17.5,16,12100.0,7569.0,306.25
24.0,4,107.0,90.0,14.5,16,11449.0,8100.0,210.25
25.0,4,104.0,95.0,17.5,16,10816.0,9025.0,306.25
26.0,4,121.0,113.0,12.5,16,14641.0,12769.0,156.25
21.0,6,199.0,90.0,15.0,36,39601.0,8100.0,225.0
10.0,8,360.0,215.0,14.0,64,129600.0,46225.0,196.0
10.0,8,307.0,200.0,15.0,64,94249.0,40000.0,225.0
11.0,8,318.0,210.0,13.5,64,101124.0,44100.0,182.25
9.0,8,304.0,193.0,18.5,64,92416.0,37249.0,342.25
27.0,4,97.0,88.0,14.5,16,9409.0,7744.0,210.25
28.0,4,140.0,90.0,15.5,16,19600.0,8100.0,240.25
25.0,4,113.0,95.0,14.0,16,12769.0,9025.0,196.0
19.0,6,232.0,100.0,13.0,36,53824.0,10000.0,169.0
16.0,6,225.0,105.0,15.5,36,50625.0,11025.0,240.25
17.0,6,250.0,100.0,15.5,36,62500.0,10000.0,240.25
19.0,6,250.0,88.0,15.5,36,62500.0,7744.0,240.25
18.0,6,232.0,100.0,15.5,36,53824.0,10000.0,240.25
14.0,8,350.0,165.0,12.0,64,122500.0,27225.0,144.0
14.0,8,400.0,175.0,11.5,64,160000.0,30625.0,132.25
14.0,8,351.0,153.0,13.5,64,123201.0,23409.0,182.25
14.0,8,318.0,150.0,13.0,64,101124.0,22500.0,169.0
12.0,8,383.0,180.0,11.5,64,146689.0,32400.0,132.25
13.0,8,400.0,170.0,12.0,64,160000.0,28900.0,144.0
13.0,8,400.0,175.0,12.0,64,160000.0,30625.0,144.0
18.0,6,258.0,110.0,13.5,36,66564.0,12100.0,182.25
22.0,4,140.0,72.0,19.0,16,19600.0,5184.0,361.0
19.0,6,250.0,100.0,15.0,36,62500.0,10000.0,225.0
18.0,6,250.0,88.0,14.5,36,62500.0,7744.0,210.25
23.0,4,122.0,86.0,14.0,16,14884.0,7396.0,196.0
28.0,4,116.0,90.0,14.0,16,13456.0,8100.0,196.0
30.0,4,79.0,70.0,19.5,16,6241.0,4900.0,380.25
30.0,4,88.0,76.0,14.5,16,7744.0,5776.0,210.25
31.0,4,71.0,65.0,19.0,16,5041.0,4225.0,361.0
35.0,4,72.0,69.0,18.0,16,5184.0,4761.0,324.0
27.0,4,97.0,60.0,19.0,16,9409.0,3600.0,361.0
26.0,4,91.0,70.0,20.5,16,8281.0,4900.0,420.25
24.0,4,113.0,95.0,15.5,16,12769.0,9025.0,240.25
25.0,4,97.5,80.0,17.0,16,9506.25,6400.0,289.0
23.0,4,97.0,54.0,23.5,16,9409.0,2916.0,552.25
20.0,4,140.0,90.0,19.5,16,19600.0,8100.0,380.25
21.0,4,122.0,86.0,16.5,16,14884.0,7396.0,272.25
13.0,8,350.0,165.0,12.0,64,122500.0,27225.0,144.0
14.0,8,400.0,175.0,12.0,64,160000.0,30625.0,144.0
15.0,8,318.0,150.0,13.5,64,101124.0,22500.0,182.25
14.0,8,351.0,153.0,13.0,64,123201.0,23409.0,169.0
17.0,8,304.0,150.0,11.5,64,92416.0,22500.0,132.25
11.0,8,429.0,208.0,11.0,64,184041.0,43264.0,121.0
13.0,8,350.0,155.0,13.5,64,122500.0,24025.0,182.25
12.0,8,350.0,160.0,13.5,64,122500.0,25600.0,182.25
13.0,8,400.0,190.0,12.5,64,160000.0,36100.0,156.25
19.0,3,70.0,97.0,13.5,9,4900.0,9409.0,182.25
15.0,8,304.0,150.0,12.5,64,92416.0,22500.0,156.25
13.0,8,307.0,130.0,14.0,64,94249.0,16900.0,196.0
13.0,8,302.0,140.0,16.0,64,91204.0,19600.0,256.0
14.0,8,318.0,150.0,14.0,64,101124.0,22500.0,196.0
18.0,4,121.0,112.0,14.5,16,14641.0,12544.0,210.25
22.0,4,121.0,76.0,18.0,16,14641.0,5776.0,324.0
21.0,4,120.0,87.0,19.5,16,14400.0,7569.0,380.25
26.0,4,96.0,69.0,18.0,16,9216.0,4761.0,324.0
22.0,4,122.0,86.0,16.0,16,14884.0,7396.0,256.0
28.0,4,97.0,92.0,17.0,16,9409.0,8464.0,289.0
23.0,4,120.0,97.0,14.5,16,14400.0,9409.0,210.25
28.0,4,98.0,80.0,15.0,16,9604.0,6400.0,225.0
27.0,4,97.0,88.0,16.5,16,9409.0,7744.0,272.25
13.0,8,350.0,175.0,13.0,64,122500.0,30625.0,169.0
14.0,8,304.0,150.0,11.5,64,92416.0,22500.0,132.25
13.0,8,350.0,145.0,13.0,64,122500.0,21025.0,169.0
14.0,8,302.0,137.0,14.5,64,91204.0,18769.0,210.25
15.0,8,318.0,150.0,12.5,64,101124.0,22500.0,156.25
12.0,8,429.0,198.0,11.5,64,184041.0,39204.0,132.25
13.0,8,400.0,150.0,12.0,64,160000.0,22500.0,144.0
13.0,8,351.0,158.0,13.0,64,123201.0,24964.0,169.0
