TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,FGM,FGA,FG_PCT,WON
Golden State Warriors,21800002,2018-10-16,GSW vs. OKC,42,95,0.442,1
Oklahoma City Thunder,21800002,2018-10-16,OKC @ GSW,33,91,0.363,0
Philadelphia 76ers,21800001,2018-10-16,PHI @ BOS,34,87,0.391,0
Boston Celtics,21800001,2018-10-16,BOS vs. PHI,42,97,0.433,1
Minnesota Timberwolves,21800010,2018-10-17,MIN @ SAS,39,91,0.429,0
San Antonio Spurs,21800010,2018-10-17,SAS vs. MIN,40,93,0.43,1
New York Knicks,21800007,2018-10-17,NYK vs. ATL,45,99,0.455,1
Atlanta Hawks,21800007,2018-10-17,ATL @ NYK,41,90,0.456,0
Dallas Mavericks,21800013,2018-10-17,DAL @ PHX,38,88,0.4320000000000001,0
Phoenix Suns,21800013,2018-10-17,PHX vs. DAL,44,81,0.5429999999999999,1
New Orleans Pelicans,21800009,2018-10-17,NOP @ HOU,52,98,0.531,1
Houston Rockets,21800009,2018-10-17,HOU vs. NOP,39,92,0.424,0
Denver Nuggets,21800012,2018-10-17,DEN @ LAC,33,87,0.379,1
LA Clippers,21800012,2018-10-17,LAC vs. DEN,35,88,0.398,0
Orlando Magic,21800006,2018-10-17,ORL vs. MIA,39,94,0.415,1
Miami Heat,21800006,2018-10-17,MIA @ ORL,38,97,0.392,0
Brooklyn Nets,21800004,2018-10-17,BKN @ DET,40,82,0.488,0
Detroit Pistons,21800004,2018-10-17,DET vs. BKN,39,92,0.424,1
Memphis Grizzlies,21800005,2018-10-17,MEM @ IND,25,84,0.298,0
Indiana Pacers,21800005,2018-10-17,IND vs. MEM,47,83,0.5660000000000001,1
Sacramento Kings,21800011,2018-10-17,SAC vs. UTA,49,95,0.516,0
Utah Jazz,21800011,2018-10-17,UTA @ SAC,41,79,0.519,1
Charlotte Hornets,21800003,2018-10-17,CHA vs. MIL,41,92,0.446,0
Milwaukee Bucks,21800003,2018-10-17,MIL @ CHA,42,85,0.494,1
Cleveland Cavaliers,21800008,2018-10-17,CLE @ TOR,34,85,0.4,0
Toronto Raptors,21800008,2018-10-17,TOR vs. CLE,45,92,0.489,1
Chicago Bulls,21800014,2018-10-18,CHI @ PHI,44,101,0.436,0
Philadelphia 76ers,21800014,2018-10-18,PHI vs. CHI,44,93,0.473,1
Portland Trail Blazers,21800016,2018-10-18,POR vs. LAL,44,100,0.44,1
Los Angeles Lakers,21800016,2018-10-18,LAL @ POR,45,93,0.484,0
Miami Heat,21800015,2018-10-18,MIA @ WAS,38,97,0.392,1
Washington Wizards,21800015,2018-10-18,WAS vs. MIA,38,81,0.469,0
Brooklyn Nets,21800018,2018-10-19,BKN vs. NYK,37,75,0.493,1
New York Knicks,21800018,2018-10-19,NYK @ BKN,39,97,0.402,0
Charlotte Hornets,21800017,2018-10-19,CHA @ ORL,43,92,0.467,1
Orlando Magic,21800017,2018-10-19,ORL vs. CHA,36,94,0.383,0
Oklahoma City Thunder,21800025,2018-10-19,OKC @ LAC,34,95,0.358,0
LA Clippers,21800025,2018-10-19,LAC vs. OKC,35,81,0.4320000000000001,1
Golden State Warriors,21800024,2018-10-19,GSW @ UTA,49,87,0.563,1
Utah Jazz,21800024,2018-10-19,UTA vs. GSW,40,89,0.449,0
Indiana Pacers,21800023,2018-10-19,IND @ MIL,38,87,0.4370000000000001,0
Milwaukee Bucks,21800023,2018-10-19,MIL vs. IND,44,93,0.473,1
Minnesota Timberwolves,21800021,2018-10-19,MIN vs. CLE,44,87,0.506,1
Cleveland Cavaliers,21800021,2018-10-19,CLE @ MIN,45,93,0.484,0
Toronto Raptors,21800019,2018-10-19,TOR vs. BOS,43,92,0.467,1
Boston Celtics,21800019,2018-10-19,BOS @ TOR,40,99,0.404,0
Memphis Grizzlies,21800020,2018-10-19,MEM vs. ATL,44,81,0.5429999999999999,1
Atlanta Hawks,21800020,2018-10-19,ATL @ MEM,41,83,0.494,0
New Orleans Pelicans,21800022,2018-10-19,NOP vs. SAC,56,95,0.589,1
Sacramento Kings,21800022,2018-10-19,SAC @ NOP,50,96,0.521,0
Orlando Magic,21800029,2018-10-20,ORL @ PHI,41,90,0.456,0
Philadelphia 76ers,21800029,2018-10-20,PHI vs. ORL,45,94,0.479,1
Los Angeles Lakers,21800035,2018-10-20,LAL vs. HOU,48,100,0.48,0
Houston Rockets,21800035,2018-10-20,HOU @ LAL,44,96,0.458,1
Chicago Bulls,21800031,2018-10-20,CHI vs. DET,44,87,0.506,0
Detroit Pistons,21800031,2018-10-20,DET @ CHI,41,101,0.406,1
New York Knicks,21800028,2018-10-20,NYK vs. BOS,36,87,0.414,0
Boston Celtics,21800028,2018-10-20,BOS @ NYK,33,82,0.402,1
Charlotte Hornets,21800030,2018-10-20,CHA @ MIA,41,93,0.441,1
Miami Heat,21800030,2018-10-20,MIA vs. CHA,41,89,0.461,0
San Antonio Spurs,21800034,2018-10-20,SAS @ POR,42,100,0.42,0
Portland Trail Blazers,21800034,2018-10-20,POR vs. SAS,45,84,0.536,1
Indiana Pacers,21800026,2018-10-20,IND vs. BKN,51,92,0.5539999999999999,1
Brooklyn Nets,21800026,2018-10-20,BKN @ IND,41,86,0.477,0
Minnesota Timberwolves,21800032,2018-10-20,MIN @ DAL,44,84,0.524,0
Dallas Mavericks,21800032,2018-10-20,DAL vs. MIN,49,98,0.5,1
Denver Nuggets,21800033,2018-10-20,DEN vs. PHX,43,85,0.506,1
Phoenix Suns,21800033,2018-10-20,PHX @ DEN,29,77,0.377,0
Washington Wizards,21800027,2018-10-20,WAS vs. TOR,37,89,0.416,0
Toronto Raptors,21800027,2018-10-20,TOR @ WAS,39,88,0.443,1
Cleveland Cavaliers,21800036,2018-10-21,CLE vs. ATL,46,99,0.465,0
Atlanta Hawks,21800036,2018-10-21,ATL @ CLE,48,98,0.49,1
Houston Rockets,21800039,2018-10-21,HOU @ LAC,43,89,0.483,0
